canonical_name,long_tail,wiki_status,recommendation,n_guest_quotes,n_staff_quotes,guest_strong,guest_medium,staff_strong,staff_medium,staff_weak,guest_score,staff_score,flag_public_radio,flag_other_network,exclusion_trigger_label,exclusion_marker,summary_filter_verdict,top_guest_quote,top_guest_source,top_staff_quote,top_staff_source,subst_dedup,n_dates_dedup,span_days_dedup,npr_share,n_programs,first_date,last_date,transcript_ids
Kavitha Davidson,1,long-tail,RE-ADMIT,17,0,16,1,0,0,0,14,0,0,1,"KAVITHA DAVIDSON, SPORTS BUSINESS REPORTER, ""THE ATHLETICS""",REPORTER,no,"KAVITHA DAVIDSON, SPORTS COLUMNIST, BLOOMBERG VIEW",label:CNN-238661;CNN-238924;CNN-247774,,,3,3,311,0.33,3,2015-04-01,2016-02-06,CNN-238661;CNN-238924;CNN-244348;CNN-247774;CNN-257991;CNN-293848;NPR-22240;NPR-23793;NPR-7408
Kevin Arnovitz,1,long-tail,RE-ADMIT,6,2,5,1,0,2,0,14,4,0,0,KEVIN ARNOVITZ reporting,REPORTING,no,NPR's Robert Siegel talks to ESPN's Kevin Arnovitz about Westbrook's heroic effort this season.,summary:NPR-5500,KEVIN ARNOVITZ reporting,label:NPR-17466,3,3,3944,1.0,2,2007-06-26,2018-04-13,NPR-17466;NPR-4002;NPR-47653;NPR-5500
Nicole Perlroth,1,long-tail,RE-ADMIT,11,0,10,1,0,0,0,14,0,0,0,"NICOLE PERLROTH, CYBERSECURITY REPORTER, NEW YORK TIMES",REPORTER,no,"NICOLE PERLROTH, ""NEW YORK TIMES""",label:CNN-200370,,,3,3,1610,0.75,3,2013-01-31,2017-06-29,CNN-200370;NPR-17621;NPR-26597;NPR-27953
Sudarsan Raghavan,1,long-tail,RE-ADMIT,26,1,26,0,0,0,1,12,1,0,0,"SUDARSAN RAGHAVAN, FOREIGN CORRESPONDENT, WASHINGTON POST (via telephone)",CORRESPONDENT,review,Mr. SUDARSAN RAGHAVAN (Washington Post),label:NPR-29741,"But as Post reporter Sudarsan Raghavan found, several months into the mission, it's not yet clear what exactly these U.S.","utterance[AUDIE CORNISH, HOST]:NPR-31788",7,7,3192,0.89,3,2010-07-12,2019-04-08,CNN-167322;NPR-11123;NPR-14950;NPR-26659;NPR-29741;NPR-31788;NPR-33520;NPR-33578;NPR-6174
Kimberly Atkins,1,long-tail,RE-ADMIT,23,0,23,0,0,0,0,12,0,0,0,"KIMBERLY ATKINS, REPORTER, BOSTON HERALD",REPORTER,no,"KIMBERLY ATKINS, ""BOSTON HERALD""",label:CNN-322056;CNN-323880;CNN-324278,,,6,6,546,0.55,2,2017-05-26,2018-11-23,CNN-322056;CNN-322057;CNN-323880;CNN-323881;CNN-324278;NPR-13335;NPR-17375;NPR-18191;NPR-1960;NPR-3604;NPR-48292
Martin Chulov,1,long-tail,RE-ADMIT,20,2,20,0,0,0,2,12,2,0,0,"MARTIN CHULOV, CORRESPONDENT, THE GUARDIAN",CORRESPONDENT,no,"MARTIN CHULOV, CORRESPONDENT, THE GUARDIAN",label:CNN-245168;CNN-263523;CNN-323854,"""Guardian"" Reporter Martin Chulov interviewed a senior ISIS commander.",utterance[TODD]:CNN-245168,4,4,2062,0.8,3,2013-01-16,2018-09-09,CNN-269669;NPR-22985;NPR-27021;NPR-30076;NPR-4325
Adeed Dawisha,1,long-tail,RE-ADMIT,12,2,12,0,0,1,1,12,3,0,0,ADEED DAWISHA reporting,REPORTING,no,Professor ADEED DAWISHA (Miami University of Ohio),label:NPR-5330;NPR-39885,ADEED DAWISHA reporting,label:NPR-42075,4,4,839,1.0,3,2005-12-13,2008-03-31,NPR-39885;NPR-40476;NPR-42075;NPR-5330
Ellen Knickmeyer,1,long-tail,RE-ADMIT,16,0,16,0,0,0,0,12,0,0,0,"ELLEN KNICKMEYER, WASHINGTON POST REPORTER",REPORTER,review,Ms. ELLEN KNICKMEYER (The Washington Post),label:NPR-40023;NPR-41030,,,4,4,3230,1.0,3,2005-05-25,2014-03-29,NPR-12151;NPR-28245;NPR-40023;NPR-41030
Peter Spiegel,1,long-tail,RE-ADMIT,21,0,21,0,0,0,0,12,0,0,0,"PETER SPIEGEL, PENTAGON CORRESPONDENT, ""THE LOS ANGELES TIMES""",CORRESPONDENT,no,"PETER SPIEGEL, PENTAGON CORRESPONDENT, ""THE LOS ANGELES TIMES""",label:CNN-111980,,,3,3,1300,0.5,3,2015-06-30,2019-01-20,CNN-177335;CNN-177408;CNN-180229;CNN-411880;NPR-21213;NPR-21634;NPR-6127;NPR-7951
Devlin Barrett,1,long-tail,RE-ADMIT,22,0,22,0,0,0,0,12,0,0,0,"DEVLIN BARRETT, NATIONAL SECURITY REPORTER, ""WASHINGTON POST""",REPORTER,no,"DEVLIN BARRETT, THE WASHINGTON POST",label:CNN-308607;CNN-312938;CNN-315279,,,3,3,1641,0.3,7,2015-01-31,2019-07-30,CNN-243267;CNN-243316;CNN-308607;CNN-312938;CNN-315279;CNN-316686;CNN-331721;NPR-14823;NPR-25199;NPR-9569
Ben Hubbard,1,long-tail,RE-ADMIT,13,0,13,0,0,0,0,12,0,0,0,"BEN HUBBARD, NEW YORK TIMES REPORTER",REPORTER,review,"BEN HUBBARD, NEW YORK TIMES REPORTER",label:CNN-237161;CNN-238011,,,3,3,1237,0.75,3,2015-06-16,2018-11-04,CNN-339350;NPR-24361;NPR-2857;NPR-7997
Joe Flint,1,long-tail,RE-ADMIT,19,0,19,0,0,0,0,12,0,0,0,"JOE FLINT, MEDIA REPORTER, LOS ANGELES TIMES",REPORTER,review,Mr. JOE FLINT (Los Angeles Times),label:NPR-13494,,,3,3,2484,0.57,5,2011-01-23,2017-11-11,CNN-100391;CNN-147229;CNN-183658;NPR-13494;NPR-14932;NPR-20575;NPR-25031
Julia Ioffe,0,has-page,RE-ADMIT,63,2,48,15,0,1,1,20,3,0,0,"JULIA IOFFE, CORRESPONDENT, GQ MAGAZINE",REPORTER,review,"JULIA IOFFE, STAFF WRITER, THE ATLANTIC",label:CNN-316197;CNN-316896;CNN-319234,"JULIA IOFFE, CORRESPONDENT, GQ",label:CNN-345327;CNN-379219;CNN-388370,10,10,2476,0.15,19,2010-08-09,2017-05-20,CNN-161258;CNN-178293;CNN-209572;CNN-211662;CNN-213965;CNN-214039;CNN-214415;CNN-214453;CNN-225300;CNN-225448;CNN-225523;CNN-226052;CNN-226197;CNN-226203;CNN-228675;CNN-229484;CNN-235011;CNN-236227;CNN-243467;CNN-250225;CNN-251186;CNN-261961;CNN-263424;CNN-265095;CNN-266143
Jeffrey Goldberg,0,has-page,RE-ADMIT,68,0,62,6,0,0,0,20,0,0,0,"JEFFREY GOLDBERG, NATIONAL CORRESPONDENT, ""THE ATLANTIC""",CORRESPONDENT,no,"JEFFREY GOLDBERG, EDITOR-IN-CHIEF, THE ATLANTIC",label:CNN-297734;CNN-395789;CNN-406386,,,10,10,3398,0.19,23,2006-08-16,2015-12-05,CNN-111206;CNN-133897;CNN-155506;CNN-166191;CNN-182183;CNN-203355;CNN-208210;CNN-213870;CNN-214382;CNN-222387;CNN-224234;CNN-226051;CNN-236458;CNN-280128;CNN-297734;CNN-343015;CNN-351505;CNN-359890;CNN-379221;CNN-381301;CNN-385805;CNN-395789;CNN-406386;CNN-410059;CNN-410071
Anthony Shadid,0,has-page,RE-ADMIT,66,2,62,4,0,0,2,20,2,0,0,"Mr. ANTHONY SHADID (Foreign Correspondent, New York Times)",CORRESPONDENT,review,Mr. ANTHONY SHADID (The Washington Post),label:NPR-42123;NPR-43448;NPR-44106,Interview With 'Post' Reporter Anthony Shadid,summary:CNN-74732,9,9,2278,0.39,11,2005-06-10,2011-09-05,CNN-164108;CNN-164146;CNN-164186;CNN-164195;CNN-166030;CNN-177238;CNN-181255;CNN-181262;CNN-201806;CNN-69638;CNN-79003;CNN-83576;CNN-83595;CNN-91744;NPR-1407;NPR-2833;NPR-31082;NPR-32522;NPR-37569;NPR-42123;NPR-43448;NPR-44106;NPR-44119
Katrina Vanden Heuvel,0,has-page,RE-ADMIT,50,0,45,5,0,0,0,20,0,0,0,"KATRINA VANDEN HEUVEL, GUEST CO-HOST",HOST,no,"KATRINA VANDEN HEUVEL, EDITOR, ""THE NATION""",label:CNN-22793;CNN-27898;CNN-34886,,,6,6,1050,0.07,31,2011-07-29,2014-06-13,CNN-100811;CNN-102810;CNN-103941;CNN-108526;CNN-121653;CNN-121654;CNN-124086;CNN-124311;CNN-125131;CNN-126241;CNN-126765;CNN-126771;CNN-128201;CNN-131108;CNN-131814;CNN-132692;CNN-138330;CNN-138334;CNN-138337;CNN-138350;CNN-148611;CNN-156519;CNN-157508;CNN-159750;CNN-162175
Gustavo Arellano,0,has-page,RE-ADMIT,18,3,10,8,0,1,2,20,4,0,0,GUSTAVO ARELLANO reporting,REPORTING,review,"Keli Goff, political correspondent, The Root Gustavo Arellano, editor, OC Weekly Paul Taylor, executive vice president, Pew Research Center",summary:NPR-9791,GUSTAVO ARELLANO reporting,label:NPR-16987,6,6,3293,0.64,5,2009-07-16,2018-07-22,CNN-104510;CNN-105787;CNN-106565;CNN-107145;CNN-107324;NPR-15070;NPR-16987;NPR-18535;NPR-20928;NPR-228;NPR-45483;NPR-46107;NPR-46833;NPR-9791
Dan Murphy,0,has-page,RE-ADMIT,38,0,31,7,0,0,0,20,0,0,0,"Mr. DAN MURPHY (Reporter, Christian Science Monitor)",REPORTER,review,Mr. DAN MURPHY (The Christian Science Monitor),label:NPR-15267;NPR-15370;NPR-15839,,,6,6,221,0.69,8,2005-08-22,2006-03-31,CNN-122505;CNN-165867;CNN-172026;CNN-249984;CNN-58310;NPR-14000;NPR-15267;NPR-15370;NPR-15839;NPR-15970;NPR-16402;NPR-18509;NPR-34097;NPR-43353;NPR-43459;NPR-48581
Steven Erlanger,0,has-page,RE-ADMIT,58,0,54,4,0,0,0,20,0,0,0,"STEVEN ERLANGER, NEW YORK TIMES CHIEF DIPLOMATIC CORRESPONDENT",CORRESPONDENT,no,"STEVEN ERLANGER, ""THE NEW YORK TIMES""",label:CNN-313187;CNN-315206;CNN-317883,,,5,5,2205,0.1,6,2007-03-26,2013-04-08,CNN-307823;CNN-312728;CNN-313187;CNN-315206;CNN-315796;CNN-317883;CNN-320476;CNN-322460;CNN-323100;CNN-324205;CNN-324773;CNN-325840;CNN-328576;CNN-329100;CNN-329500;CNN-330952;CNN-331522;CNN-331977;CNN-333132;CNN-333700;CNN-336527;CNN-337119;CNN-337624;CNN-338195;CNN-338749
Ron Cowen,0,has-page,RE-ADMIT,13,2,9,4,0,0,2,20,2,0,0,"Mr. RON COWEN (Astronomy and Space Science Reporter, Science News)",REPORTER,review,"Mr. RON COWEN (Astronomy and Space Science Reporter, Science News)",label:NPR-45049,Science News reporter Ron Cowen talks about this and other news from a meeting of the American Astronomical Society's Division for Planetary Sciences.,summary:NPR-3994,5,5,924,0.83,2,2010-07-09,2013-01-18,CNN-53041;NPR-1646;NPR-231;NPR-3994;NPR-5077;NPR-9758
Ari Shavit,0,has-page,RE-ADMIT,27,0,20,7,0,0,0,20,0,0,0,"ARI SHAVIT, SR. CORRESPONDENT, ""HAARETZ""",CORRESPONDENT,no,"ARI SHAVIT, HA'ARETZ NEWSPAPER",label:CNN-50849;CNN-99850,,,5,5,444,0.18,18,2013-12-26,2015-03-15,CNN-101215;CNN-104341;CNN-111949;CNN-134901;CNN-134909;CNN-234109;CNN-234470;CNN-235624;CNN-25046;CNN-25093;CNN-25189;CNN-254577;CNN-50849;CNN-56261;CNN-89704;CNN-90192;CNN-91225;CNN-92291;CNN-92292;CNN-92309;CNN-97028;CNN-99262;CNN-99850;NPR-23374;NPR-24512
Ana Kasparian,0,has-page,RE-ADMIT,13,0,8,5,0,0,0,20,0,0,0,"ANA KASPARIAN, HOST & EXECUTIVE PRODUCER, ""THE YOUNG TURKS""",HOST,no,"NPR's Ari Shapiro speaks with Bre Payton of The Federalist, and Ana Kasparian of the Young Turks Network about President Trump's rhetoric on the Mueller investigation and the upcoming confirmation hearings for Supreme Court nominee Brett Kavanaugh.",summary:NPR-4599,,,5,5,532,1.0,1,2017-12-15,2019-05-31,NPR-10266;NPR-14280;NPR-3729;NPR-4599;NPR-49015
John Burns,0,has-page,RE-ADMIT,62,3,55,7,0,1,2,20,4,0,0,"JOHN BURNS, POOL REPORTER",REPORTER,no,"JOHN BURNS, ""THE NEW YORK TIMES""",label:CNN-70150;CNN-70208;CNN-79761,"JOHN BURNS, POOL REPORTER",label:CNN-85885;CNN-85886,4,4,2545,0.12,14,2006-06-09,2013-05-28,CNN-107264;CNN-107808;CNN-113328;CNN-113340;CNN-113374;CNN-113396;CNN-113399;CNN-113451;CNN-113489;CNN-113669;CNN-113932;CNN-113934;CNN-114140;CNN-114289;CNN-114297;CNN-117111;CNN-117194;CNN-117196;CNN-117533;CNN-117534;CNN-117570;CNN-128112;CNN-167239;CNN-167240;CNN-168928
Tina Brown,0,has-page,RE-ADMIT,55,0,48,7,0,0,0,20,0,0,0,"TINA BROWN, JOURNALIST, MAGAZINE EDITOR, COLUMNIST, TALK-SHOW HOST, AND AUTHOR",HOST,no,"TINA BROWN, FOUNDER, DAILYBEAST.COM",label:CNN-137565;CNN-141109,,,4,4,1527,0.1,18,2009-07-01,2013-09-05,CNN-117540;CNN-131493;CNN-135515;CNN-136581;CNN-136634;CNN-136646;CNN-136647;CNN-137565;CNN-138054;CNN-140188;CNN-140194;CNN-141109;CNN-142611;CNN-145302;CNN-146239;CNN-146355;CNN-146528;CNN-147564;CNN-158248;CNN-158389;CNN-208553;CNN-212911;CNN-216003;CNN-227526;CNN-249144
Thomas Ricks,0,has-page,RE-ADMIT,39,1,35,4,0,1,0,20,2,0,0,"THOMAS RICKS, MILITARY CORRESPONDENT",CORRESPONDENT,no,"THOMAS RICKS, ""THE WASHINGTON POST""",label:CNN-110291;CNN-110294;CNN-110819,"THOMAS RICKS, MILITARY CORRESPONDENT",label:CNN-110819;CNN-111392;CNN-111408,4,4,1486,0.24,12,2006-08-07,2010-09-01,CNN-108676;CNN-108867;CNN-109009;CNN-110286;CNN-110291;CNN-110294;CNN-110319;CNN-110819;CNN-111392;CNN-111408;CNN-112920;CNN-135775;CNN-144348;CNN-165963;CNN-318669;CNN-318870;NPR-16790;NPR-17869;NPR-4394;NPR-47729;NPR-48336
Kevin Powell,0,has-page,RE-ADMIT,41,1,36,5,0,1,0,20,2,0,0,"KEVIN POWELL, POLITICAL & SOCIAL COMMENTATOR & HIP HOP HISTORIAN & AUTHOR",COMMENTATOR,no,"KEVIN POWELL, ACTIVIST, WRITER, PUBLIC SPEAKER",label:CNN-237351;CNN-237354;CNN-237369,"And so a Kevin Powell has the opportunity--for instance, when Kevin had his manhood conference here in Chicago, I put it on the front page.","utterance[Mr. ROLAND MARTIN (Executive Editor, Chicago Defender)]:NPR-47213",4,4,2973,0.27,9,2005-06-03,2013-07-24,CNN-115972;CNN-118683;CNN-135952;CNN-136141;CNN-185035;CNN-196775;CNN-20733;CNN-236929;CNN-237351;CNN-237354;CNN-237369;CNN-237443;CNN-244801;CNN-251203;CNN-261702;CNN-376824;NPR-25629;NPR-28656;NPR-39399;NPR-47213;NPR-47583;NPR-47853
Mark Bowden,0,has-page,RE-ADMIT,51,0,44,7,0,0,0,20,0,0,0,"MARK BOWDEN, BRITISH CORRESPONDENT (on camera)",CORRESPONDENT,no,"MARK BOWDEN, AUTHOR, ""KILLING PABLO""",label:CNN-32721;CNN-46417,,,4,4,2455,0.22,17,2012-10-23,2019-07-14,CNN-105855;CNN-107824;CNN-169434;CNN-194474;CNN-198220;CNN-241924;CNN-32721;CNN-41117;CNN-46417;CNN-47163;CNN-61811;CNN-65345;CNN-67411;CNN-68218;CNN-68413;CNN-68787;CNN-68844;CNN-77644;CNN-80409;CNN-84316;CNN-89882;NPR-10150;NPR-25359;NPR-29173;NPR-4940
Jerry Mitchell,0,has-page,RE-ADMIT,19,3,12,7,0,2,1,20,5,0,0,"JERRY MITCHELL, REPORTER, CLARION LEDGER",REPORTER,no,"JERRY MITCHELL, REPORTER, CLARION LEDGER",label:CNN-30679;CNN-31325,"JERRY MITCHELL, FOUNDER, MISSISSIPPI CENTER FOR INVESTIGATIVE REPORTING",label:CNN-375819;CNN-375927,4,4,4545,0.44,7,2007-02-14,2019-07-26,CNN-28510;CNN-28724;CNN-375819;CNN-375927;CNN-95546;NPR-1384;NPR-2322;NPR-45789;NPR-9677
Evan Osnos,0,has-page,RE-ADMIT,32,0,28,4,0,0,0,20,0,0,0,"EVAN OSNOS, CHINA CORRESPONDENT, ""THE NEW YORKER""",CORRESPONDENT,no,"EVAN OSNOS, STAFF WRITER, ""THE NEW YORKER""",label:CNN-306521;CNN-331582,,,4,4,1360,0.33,6,2014-12-20,2018-09-10,CNN-296728;CNN-306521;CNN-331582;CNN-342957;CNN-362879;CNN-390234;CNN-399529;CNN-400962;NPR-20804;NPR-22723;NPR-25526;NPR-4326
Greg Miller,0,has-page,RE-ADMIT,71,2,63,8,0,2,0,20,4,0,0,"GREG MILLER, NATIONAL SECURITY CORRESPONDENT, ""THE WASHINGTON POST""",REPORTER,no,"GREG MILLER, NATIONAL SECURITY CORRESPONDENT, ""THE WASHINGTON POST""",label:CNN-305061;CNN-305079;CNN-305123,"GREG MILLER, REPORTER, KDRO",label:CNN-253562,4,4,758,0.23,17,2017-03-05,2019-04-02,CNN-11836;CNN-176577;CNN-176636;CNN-270152;CNN-299330;CNN-299333;CNN-299339;CNN-299357;CNN-299361;CNN-304357;CNN-304457;CNN-312389;CNN-312392;CNN-312413;CNN-312415;CNN-312417;CNN-36509;CNN-36514;CNN-55079;CNN-87494;NPR-11197;NPR-11336;NPR-16772;NPR-28153;NPR-37152
Carol Leonnig,0,has-page,RE-ADMIT,38,0,34,4,0,0,0,20,0,0,0,"CAROL LEONNIG, NATIONAL REPORTER, ""WASHINGTON POST""",REPORTER,no,"CAROL LEONNIG, ""THE WASHINGTON POST""",label:CNN-175582;CNN-202344;CNN-251109,,,4,4,4038,0.36,9,2008-03-31,2019-04-21,CNN-175582;CNN-202344;CNN-239917;CNN-251070;CNN-251109;CNN-251781;CNN-318009;NPR-10557;NPR-40489;NPR-49175;NPR-7893
Ronald Kessler,0,has-page,RE-ADMIT,72,2,68,4,0,1,1,20,3,0,0,"RONALD KESSLER, INVESTIGATIVE REPORTER",CORRESPONDENT,no,"RONALD KESSLER, AUTHOR",label:CNN-30234;CNN-54988;CNN-83759,"RONALD KESSLER, INVESTIGATIVE REPORTER",label:CNN-186614;CNN-239421;CNN-243253,3,3,3412,0.06,28,2005-06-01,2014-10-04,CNN-104654;CNN-105689;CNN-105695;CNN-111100;CNN-121350;CNN-121958;CNN-121961;CNN-122406;CNN-123178;CNN-123189;CNN-145584;CNN-184374;CNN-184378;CNN-184380;CNN-184383;CNN-184385;CNN-184389;CNN-184393;CNN-184436;CNN-184514;CNN-185234;CNN-186675;CNN-195509;CNN-195522;CNN-22055
David Gardner,0,has-page,RE-ADMIT,21,0,11,10,0,0,0,20,0,0,0,"DAVID GARDNER, HOST ""MOTLEY FOOL""",HOST,no,"Mr. DAVID GARDNER (Co-Founder, The Motley Fool)",label:NPR-14947,,,3,3,553,0.5,4,2006-06-01,2007-12-06,CNN-23051;CNN-32621;CNN-48668;NPR-14947;NPR-16497;NPR-18195
Kim Zetter,0,has-page,RE-ADMIT,31,0,24,7,0,0,0,20,0,0,0,"KIM ZETTER, SENIOR REPORTER, WIRED.COM",REPORTER,no,"KIM ZETTER, ""PC WORLD"" MAGAZINE",label:CNN-2515;CNN-4680;CNN-7074,,,3,3,237,0.12,9,2012-06-08,2013-01-31,CNN-14243;CNN-16848;CNN-18798;CNN-18800;CNN-22705;CNN-23526;CNN-2515;CNN-25417;CNN-255364;CNN-27721;CNN-3698;CNN-4680;CNN-6672;CNN-6673;CNN-7074;CNN-7075;CNN-7529;CNN-817;CNN-8926;CNN-93656;CNN-93686;CNN-93792;NPR-30636;NPR-7497;NPR-9656
Ronen Bergman,0,has-page,RE-ADMIT,35,0,27,8,0,0,0,20,0,0,0,"RONEN BERGMAN, CORRESPONDENT, YEDIOTH AHRONOTH",CORRESPONDENT,no,"RONEN BERGMAN, STAFF WRITER, NEW YORK TIMES MAGAZINE",label:CNN-379841;CNN-380855,,,3,3,2758,0.29,7,2011-01-18,2018-08-07,CNN-180653;CNN-181047;CNN-182007;CNN-182183;CNN-338838;CNN-340543;CNN-354529;CNN-354533;CNN-372616;CNN-379841;CNN-380855;CNN-408269;NPR-12488;NPR-23584;NPR-3006;NPR-35356;NPR-44531
